key,value
Residence Home,7492
Highway/Alley/Street/Sidewalk,4665
Parking Garage/Lot,1215
Unknown,537
Field/Woods,300
Bar/Nightclub,286
Hotel/Motel,267
Gas Station,252
Convenience Store,233
Park/Playground,231
Commercial/Office Building,117
Restaurant,115
Jail/Prison/Corrections Facility,82
Grocery Store,71
Specialty Store,66
School Elementary/Secondary,57
Drug Store/Doctors Office/Hospital,54
Air/Bus/Train Terminal,44
Lake/Waterway/Beach,41
Campground,34
Tribal Lands,33
Government/Public Building,32
Church/Synagogue/Temple/Mosque,29
Abandoned Condemned/Structure,24
Liquor Store,24
Department/Discount Store,21
Shopping Mall,21
Rental Storage Facility,18
Bank,13
Community Center,12
Construction Site,12
Gambling Facility/Casino/Race Track,12
Mission/Homeless Shelter,12
Industrial Site,11
School College/University,10
Farm Facility,9
Auto Dealership,8
Arena/Stadium/Fairgrounds,6
Rest Area,6
School/College,5
Dock/Wharf/Shipping Terminal,4
Daycare Facility,2
Amusement Park,1
ATM Separate From Bank,1
"Cyberspace",0
"Military Base",0
